순번,이수구분,교과목명,캠퍼스구분,학점,강의시간/강의실,강의정보1,강의정보2,학부(과),영역구분
248,균형교양,"구기(축구,농구,배구,테니스,배드민턴,탁구)",가좌캠퍼스,1.0,"금3,4[005-0101]","금3,4[005-0101]",,,예술과체육
249,균형교양,"구기(축구,농구,배구,테니스,배드민턴,탁구)",가좌캠퍼스,1.0,"월3,4[049-0101]","월3,4[049-0101]",,,예술과체육
250,균형교양,"구기(축구,농구,배구,테니스,배드민턴,탁구)",가좌캠퍼스,1.0,"수6,7[005-0101]","수6,7[005-0101]",,,예술과체육
251,균형교양,"구기(축구,농구,배구,테니스,배드민턴,탁구)",가좌캠퍼스,1.0,"목6,7[005-0101]","목6,7[005-0101]",,,예술과체육
252,균형교양,"구기(축구,농구,배구,테니스,배드민턴,탁구)",가좌캠퍼스,1.0,"목8,9[005-0101]","목8,9[005-0101]",,,예술과체육
253,균형교양,"구기(축구,농구,배구,테니스,배드민턴,탁구)",가좌캠퍼스,1.0,"화3,4[005-0101]","화3,4[005-0101]",,,예술과체육
256,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"화6,7[006-0203]","화6,7[006-0203]",,,예술과체육
257,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"수6,7[006-0203]","수6,7[006-0203]",,,예술과체육
258,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"화8,9[005-0203]","화8,9[005-0203]",,,예술과체육
259,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"수6,7[006-0119]","수6,7[006-0119]",,,예술과체육
260,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"금6,7[006-0119]","금6,7[006-0119]",,,예술과체육
261,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"목8,9[005-0203]","목8,9[005-0203]",,,예술과체육
262,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"화6,7[006-0119]","화6,7[006-0119]",,,예술과체육
263,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"월10,11[005-0203]","월10,11[005-0203]",,,예술과체육
264,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"화10,11[005-0203]","화10,11[005-0203]",,,예술과체육
265,균형교양,"피트니스스포츠(요가,웨이트트레이닝,GX)",가좌캠퍼스,1.0,"목10,11[005-0203]","목10,11[005-0203]",,,예술과체육
267,균형교양,스포츠영화와윤리,가좌캠퍼스,2.0,"월8,9[024-0125]","월8,9[024-0125]",,,예술과체육
268,균형교양,수학자가알려주는전염의원리,가좌캠퍼스,2.0,"화6,7[024-0245]","화6,7[024-0245]",,,예술과체육
270,균형교양,스포츠와ICT,가좌캠퍼스,2.0,"수8,9[024-0227]","수8,9[024-0227]",,,예술과체육
272,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토1,2[303-0413]","토1,2[303-0413]",,,예술과체육
273,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토1,2[303-0414]","토1,2[303-0414]",,,예술과체육
274,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토3,4[303-0413]","토3,4[303-0413]",,,예술과체육
275,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토3,4[303-0414]","토3,4[303-0414]",,,예술과체육
276,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토6,7[303-0413]","토6,7[303-0413]",,,예술과체육
277,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토6,7[301-0124]","토6,7[301-0124]",,,예술과체육
278,균형교양,"자연환경형스포츠(야영,스키)",가좌캠퍼스,1.0,"토8,9[303-0413]","토8,9[303-0413]",,,예술과체육
279,균형교양,운동과건강,가좌캠퍼스,2.0,"화8,9[024-0143]","화8,9[024-0143]",,,예술과체육
280,균형교양,운동과건강,가좌캠퍼스,2.0,"화6,7[024-0185]","화6,7[024-0185]",,,예술과체육
281,균형교양,운동과건강,가좌캠퍼스,2.0,"월6,7[024-0173]","월6,7[024-0173]",,,예술과체육
283,균형교양,꿈을비추는네개의거울,가좌캠퍼스,2.0,"월8,9[024-0260]","월8,9[024-0260]",,,융·복합
284,균형교양,예술과법,가좌캠퍼스,3.0,"월5[024-0160],수6,7[024-0160]",월5[024-0160],"수6,7[024-0160]",,융·복합
285,균형교양,4차산업혁명시대의아프리카지역학,가좌캠퍼스,2.0,"화8,9[024-0271]","화8,9[024-0271]",,,융·복합
286,균형교양,공무원취업행정학,가좌캠퍼스,2.0,"월1,2[024-0143]","월1,2[024-0143]",,,진로와개척
287,균형교양,공학과경영,가좌캠퍼스,2.0,"목6,7[401-0111]","목6,7[401-0111]",,,진로와개척
288,균형교양,공학과경영,가좌캠퍼스,2.0,"화6,7[401-0111]","화6,7[401-0111]",,,진로와개척
291,균형교양,공학윤리,가좌캠퍼스,2.0,"월8,9[024-0173]","월8,9[024-0173]",,,진로와개척
292,균형교양,공학윤리,가좌캠퍼스,2.0,"월6,7[024-0175]","월6,7[024-0175]",,,진로와개척
293,균형교양,공학윤리,가좌캠퍼스,2.0,"화6,7[024-0173]","화6,7[024-0173]",,,진로와개척
294,균형교양,공학윤리,가좌캠퍼스,2.0,"화8,9[024-0173]","화8,9[024-0173]",,,진로와개척
295,균형교양,독일어권취업및유학,가좌캠퍼스,2.0,"목6,7[024-0227]","목6,7[024-0227]",,,진로와개척
296,균형교양,산업경영의이해,가좌캠퍼스,2.0,"화6,7[024-0141]","화6,7[024-0141]",,,진로와개척
297,균형교양,산업경영의이해,가좌캠퍼스,2.0,"화8,9[024-0227]","화8,9[024-0227]",,,진로와개척
300,균형교양,직장생활과법,가좌캠퍼스,2.0,"화6,7[024-0175]","화6,7[024-0175]",,,진로와개척
304,균형교양,창의적사고와문화콘텐츠산업,가좌캠퍼스,2.0,"수6,7[024-0185]","수6,7[024-0185]",,,진로와개척
305,균형교양,진로탐색과로드맵,가좌캠퍼스,2.0,"목1,2[024-0258]","목1,2[024-0258]",,,진로와개척
306,균형교양,진로탐색과로드맵,가좌캠퍼스,2.0,"목3,4[024-0258]","목3,4[024-0258]",,,진로와개척
308,균형교양,진로설정과커리어개발,가좌캠퍼스,2.0,"수6,7[024-0256]","수6,7[024-0256]",,,진로와개척
309,균형교양,진로설정과커리어개발,가좌캠퍼스,2.0,"수8,9[024-0256]","수8,9[024-0256]",,,진로와개척
311,균형교양,소셜이노베이션창업,가좌캠퍼스,2.0,"월5,6,7[028-0804]","월5,6,7[028-0804]",,,진로와개척
312,균형교양,소셜이노베이션창업,가좌캠퍼스,2.0,"목5,6,7[028-0804]","목5,6,7[028-0804]",,,진로와개척
313,균형교양,창업경영시뮬레이션,가좌캠퍼스,2.0,"수3,4[028-0804]","수3,4[028-0804]",,,진로와개척
314,균형교양,창업길라잡이,가좌캠퍼스,2.0,"수6,7[028-0804]","수6,7[028-0804]",,,진로와개척
317,균형교양,기업가정신수도진주,가좌캠퍼스,2.0,"월1,2[028-0804]","월1,2[028-0804]",,,진로와개척
319,균형교양,기술창업기초,가좌캠퍼스,2.0,"월3,4[028-0804]","월3,4[028-0804]",,,진로와개척
320,균형교양,기술창업기초,가좌캠퍼스,2.0,"화3,4[028-0804]","화3,4[028-0804]",,,진로와개척
322,균형교양,기술창업실무,가좌캠퍼스,2.0,"금6,7[028-0804]","금6,7[028-0804]",,,진로와개척
323,균형교양,교양생활중국어,가좌캠퍼스,3.0,"월3[024-0141],목1,2[024-0141]",월3[024-0141],"목1,2[024-0141]",,진로와개척
327,균형교양,지역사회와봉사,가좌캠퍼스,1.0,"목8,9[024-0185]","목8,9[024-0185]",,,진로와개척
328,균형교양,지역사회와봉사,가좌캠퍼스,1.0,"수1,2[024-0185]","수1,2[024-0185]",,,진로와개척
332,균형교양,국제농업교류,가좌캠퍼스,2.0,"금1,2,3[452-0150]","금1,2,3[452-0150]",,,진로와개척
333,균형교양,언어생활과규범,가좌캠퍼스,2.0,"월3,4[024-0143]","월3,4[024-0143]",,,진로와개척
335,균형교양,사물인터넷의이해와경험,가좌캠퍼스,2.0,"화6,7[407-0203]","화6,7[407-0203]",,,진로와개척
336,균형교양,ESG경영의이해,가좌캠퍼스,2.0,"월8,9[024-0130]","월8,9[024-0130]",,,진로와개척
338,균형교양,남명사상과K-기업가정신,가좌캠퍼스,2.0,"목3,4[028-0804]","목3,4[028-0804]",,,진로와개척
340,균형교양,기업가정신기록하기,가좌캠퍼스,2.0,"화8,9[028-0804]","화8,9[028-0804]",,,진로와개척
341,기초교양,기초중국어,가좌캠퍼스,3.0,"화1,2[024-0141],목3[024-0141]","화1,2[024-0141]",목3[024-0141],,외국어
343,기초교양,러시아어,가좌캠퍼스,3.0,"월6,7[024-0143],목5[024-0143]","월6,7[024-0143]",목5[024-0143],,외국어
344,기초교양,생활속의한문,가좌캠퍼스,3.0,"월1,2[024-0185],수3[024-0185]","월1,2[024-0185]",수3[024-0185],,외국어
345,기초교양,생활속의한문,가좌캠퍼스,3.0,"수1,2[024-0156],금3[024-0156]","수1,2[024-0156]",금3[024-0156],,외국어
346,기초교양,중국어발음,가좌캠퍼스,3.0,"화5[024-0141],목6,7[024-0141]",화5[024-0141],"목6,7[024-0141]",,외국어
348,기초교양,초급생활일본어,가좌캠퍼스,3.0,"화6,7[024-0230],금5[024-0230]","화6,7[024-0230]",금5[024-0230],,외국어
349,기초교양,초급생활일본어,가좌캠퍼스,3.0,"화5[024-0158],목6,7[024-0158]",화5[024-0158],"목6,7[024-0158]",,외국어
350,기초교양,초급생활일본어,가좌캠퍼스,3.0,"월6,7[024-0227],목5[024-0227]","월6,7[024-0227]",목5[024-0227],,외국어
352,기초교양,독일어의이해,가좌캠퍼스,3.0,"수4[024-0145],금4,5[024-0145]",수4[024-0145],"금4,5[024-0145]",,외국어
353,기초교양,기본영어,가좌캠퍼스,3.0,"월1,2[024-0125],수3[024-0125]","월1,2[024-0125]",수3[024-0125],,외국어
354,기초교양,기본영어,가좌캠퍼스,3.0,"월3[024-0225],목1,2[024-0225]",월3[024-0225],"목1,2[024-0225]",,외국어
355,기초교양,기본영어,가좌캠퍼스,3.0,"화3[024-0125],금1,2[024-0125]",화3[024-0125],"금1,2[024-0125]",,외국어
356,기초교양,기본영어,가좌캠퍼스,3.0,"수5[024-0225],금6,7[024-0225]",수5[024-0225],"금6,7[024-0225]",,외국어
357,기초교양,기본영어,가좌캠퍼스,3.0,"화8,9[024-0225],목9[024-0225]","화8,9[024-0225]",목9[024-0225],,외국어
359,기초교양,파이오니어실용영문법초급,가좌캠퍼스,3.0,"화5[024-0143],목6,7[024-0143]",화5[024-0143],"목6,7[024-0143]",,외국어
360,기초교양,파이오니어실용영문법초급,가좌캠퍼스,3.0,"화6,7[024-0225],금5[024-0225]","화6,7[024-0225]",금5[024-0225],,외국어
361,기초교양,AI활용영어읽기(초급),가좌캠퍼스,3.0,"화6,7[024-0143],금5[024-0143]","화6,7[024-0143]",금5[024-0143],,외국어
362,기초교양,AI활용영어읽기(초급),가좌캠퍼스,3.0,"월6,7[024-0225],목5[024-0225]","월6,7[024-0225]",목5[024-0225],,외국어
363,기초교양,AI활용영어읽기(초급),가좌캠퍼스,3.0,"월8,9[024-0127],목8[024-0127]","월8,9[024-0127]",목8[024-0127],,외국어
364,기초교양,AI활용영어읽기(초급),가좌캠퍼스,3.0,"수1,2[024-0127],금3[024-0127]","수1,2[024-0127]",금3[024-0127],,외국어
365,기초교양,AI활용영어읽기(초급),가좌캠퍼스,3.0,"화3[024-0127],금1,2[024-0127]",화3[024-0127],"금1,2[024-0127]",,외국어
368,기초교양,AI활용영어읽기(중급),가좌캠퍼스,3.0,"화5[102-0101],목6,7[102-0101]",화5[102-0101],"목6,7[102-0101]",,외국어
369,기초교양,글로벌시사영어,가좌캠퍼스,3.0,"월6,7[024-0158],목5[024-0158]","월6,7[024-0158]",목5[024-0158],,외국어
370,기초교양,"학문목적한국어듣기,말하기1",가좌캠퍼스,2.0,"목3,4[303-0310]","목3,4[303-0310]",,,외국어
371,기초교양,"학문목적한국어듣기,말하기1",가좌캠퍼스,2.0,"수1,2[303-0310]","수1,2[303-0310]",,,외국어
372,기초교양,초급프랑스어,가좌캠퍼스,3.0,"월1,2[024-0227],수3[024-0227]","월1,2[024-0227]",수3[024-0227],,외국어
373,기초교양,동양고전산책,가좌캠퍼스,3.0,"월5[024-0156],수6,7[024-0156]",월5[024-0156],"수6,7[024-0156]",,외국어
374,기초교양,학문목적한국어와한국문화1,가좌캠퍼스,2.0,"화6,7[303-0310]","화6,7[303-0310]",,,외국어
375,기초교양,학문목적한국어와한국문화1,가좌캠퍼스,2.0,"월3,4[303-0310]","월3,4[303-0310]",,,외국어
376,기초교양,"학문목적한국어읽기,쓰기1",가좌캠퍼스,2.0,"월1,2[303-0312]","월1,2[303-0312]",,,외국어
377,기초교양,"학문목적한국어읽기,쓰기1",가좌캠퍼스,2.0,"수6,7[303-0310]","수6,7[303-0310]",,,외국어
378,기초교양,경영정보입문,가좌캠퍼스,3.0,"화1,2[024-0171],목3[024-0171]","화1,2[024-0171]",목3[024-0171],,인문사회
379,기초교양,경영학개론,가좌캠퍼스,3.0,"월1,2[024-0256],수3[024-0256]","월1,2[024-0256]",수3[024-0256],,인문사회
380,기초교양,경영학개론,가좌캠퍼스,3.0,"월3[024-0271],목1,2[024-0271]",월3[024-0271],"목1,2[024-0271]",,인문사회
381,기초교양,경영학개론,가좌캠퍼스,3.0,"화6,7[024-0227],금5[024-0227]","화6,7[024-0227]",금5[024-0227],,인문사회
382,기초교양,경영학개론,가좌캠퍼스,3.0,"월3[024-0260],목1,2[024-0260]",월3[024-0260],"목1,2[024-0260]",,인문사회
383,기초교양,경영학개론,가좌캠퍼스,3.0,"토1,2,3[201-0204]","토1,2,3[201-0204]",,,인문사회
384,기초교양,경영학개론,가좌캠퍼스,3.0,"화8,9[024-0260],목9[024-0260]","화8,9[024-0260]",목9[024-0260],,인문사회
385,기초교양,경제학개론,가좌캠퍼스,3.0,"월5[024-0127],수6,7[024-0127]",월5[024-0127],"수6,7[024-0127]",,인문사회
386,기초교양,경제학개론,가좌캠퍼스,3.0,"화5[024-0145],목6,7[024-0145]",화5[024-0145],"목6,7[024-0145]",,인문사회
387,기초교양,경제학개론,가좌캠퍼스,3.0,"월8,9[024-0160],수5[024-0160]","월8,9[024-0160]",수5[024-0160],,인문사회
389,기초교양,경제학개론,가좌캠퍼스,3.0,"수1,2[024-0271],금3[024-0271]","수1,2[024-0271]",금3[024-0271],,인문사회
390,기초교양,기호학의이해,가좌캠퍼스,3.0,"수1,2[024-0158],금3[024-0158]","수1,2[024-0158]",금3[024-0158],,인문사회
391,기초교양,논리학개론,가좌캠퍼스,3.0,"화8,9[024-0275],목9[024-0275]","화8,9[024-0275]",목9[024-0275],,인문사회
392,기초교양,동양문화사,가좌캠퍼스,3.0,"화5[024-0271],목6,7[024-0271]",화5[024-0271],"목6,7[024-0271]",,인문사회
394,기초교양,무역학개론,가좌캠퍼스,3.0,"월5[024-0230],수6,7[024-0230]",월5[024-0230],"수6,7[024-0230]",,인문사회
395,기초교양,무역학개론,가좌캠퍼스,3.0,"화3[024-0145],금1,2[024-0145]",화3[024-0145],"금1,2[024-0145]",,인문사회
397,기초교양,문학개론,가좌캠퍼스,3.0,"화1,2[102-0101],목3[102-0101]","화1,2[102-0101]",목3[102-0101],,인문사회
398,기초교양,문화콘텐츠의이해,가좌캠퍼스,3.0,"월5[024-0130],수6,7[024-0130]",월5[024-0130],"수6,7[024-0130]",,인문사회
401,기초교양,법학개론,가좌캠퍼스,3.0,"월3[251-0201],목1,2[251-0201]",월3[251-0201],"목1,2[251-0201]",,인문사회
403,기초교양,사회학개론,가좌캠퍼스,3.0,"월8,9[024-0158],목8[024-0158]","월8,9[024-0158]",목8[024-0158],,인문사회
404,기초교양,서양문화사,가좌캠퍼스,3.0,"화8,9[024-0273],목9[024-0273]","화8,9[024-0273]",목9[024-0273],,인문사회
408,기초교양,심리학개론,가좌캠퍼스,3.0,"월3[024-0273],목1,2[024-0273]",월3[024-0273],"목1,2[024-0273]",,인문사회
409,기초교양,심리학개론,가좌캠퍼스,3.0,"수1,2[024-0227],금3[024-0227]","수1,2[024-0227]",금3[024-0227],,인문사회
410,기초교양,심리학개론,가좌캠퍼스,3.0,"월5[024-0227],수6,7[024-0227]",월5[024-0227],"수6,7[024-0227]",,인문사회
411,기초교양,심리학개론,가좌캠퍼스,3.0,"수5[024-0275],금6,7[024-0275]",수5[024-0275],"금6,7[024-0275]",,인문사회
412,기초교양,심리학개론,가좌캠퍼스,3.0,"화8,9[024-0245],목9[024-0245]","화8,9[024-0245]",목9[024-0245],,인문사회
413,기초교양,언어학개론,가좌캠퍼스,3.0,"월5[102-0101],수6,7[102-0101]",월5[102-0101],"수6,7[102-0101]",,인문사회
414,기초교양,언어학개론,가좌캠퍼스,3.0,"화8,9[102-0101],목9[102-0101]","화8,9[102-0101]",목9[102-0101],,인문사회
415,기초교양,정치학개론,가좌캠퍼스,3.0,"화3[024-0171],금1,2[024-0171]",화3[024-0171],"금1,2[024-0171]",,인문사회
416,기초교양,철학입문,가좌캠퍼스,3.0,"월1,2[024-0173],수3[024-0173]","월1,2[024-0173]",수3[024-0173],,인문사회
418,기초교양,한국사개관,가좌캠퍼스,3.0,"월6,7[024-0127],목5[024-0127]","월6,7[024-0127]",목5[024-0127],,인문사회
419,기초교양,한국사개관,가좌캠퍼스,3.0,"월5[024-0245],수6,7[024-0245]",월5[024-0245],"수6,7[024-0245]",,인문사회
420,기초교양,행정학개론,가좌캠퍼스,3.0,"월3[024-0175],목1,2[024-0175]",월3[024-0175],"목1,2[024-0175]",,인문사회
421,기초교양,행정학개론,가좌캠퍼스,3.0,"월8,9[024-0225],목8[024-0225]","월8,9[024-0225]",목8[024-0225],,인문사회
422,기초교양,현대사회와법,가좌캠퍼스,3.0,"월8,9[024-0143],목8[024-0143]","월8,9[024-0143]",목8[024-0143],,인문사회
423,기초교양,회계입문,가좌캠퍼스,3.0,"화1,2[024-0245],목3[024-0245]","화1,2[024-0245]",목3[024-0245],,인문사회
424,기초교양,회계입문,가좌캠퍼스,3.0,"월6,7[024-0245],목5[024-0245]","월6,7[024-0245]",목5[024-0245],,인문사회
425,기초교양,회계입문,가좌캠퍼스,3.0,"화5[024-0245],목6,7[024-0245]",화5[024-0245],"목6,7[024-0245]",,인문사회
426,기초교양,회계입문,가좌캠퍼스,3.0,"월6,7[024-0185],목5[024-0185]","월6,7[024-0185]",목5[024-0185],,인문사회
428,기초교양,민주시민교육의이해와실천,가좌캠퍼스,3.0,"목8,9,10[303-0715]","목8,9,10[303-0715]",,,인문사회
429,기초교양,예술의이해,가좌캠퍼스,3.0,"월5[024-0125],수6,7[024-0125]",월5[024-0125],"수6,7[024-0125]",,인문사회
430,기초교양,음악의즐거움:바흐에서방탄소년단(BTS)까지,가좌캠퍼스,3.0,"월3[024-0185],목1,2[024-0185]",월3[024-0185],"목1,2[024-0185]",,인문사회
431,기초교양,기초생물학,가좌캠퍼스,3.0,"화8,9[354-0504],목9[354-0504]","화8,9[354-0504]",목9[354-0504],,자연
432,기초교양,기초생물학,가좌캠퍼스,3.0,"금6,7,8[452-0217]","금6,7,8[452-0217]",,,자연
436,기초교양,물리학1,가좌캠퍼스,3.0,"수1,2[352-0205],금4[352-0205]","수1,2[352-0205]",금4[352-0205],,자연
437,기초교양,물리학1,가좌캠퍼스,3.0,"월5[354-0504],수6,7[354-0504]",월5[354-0504],"수6,7[354-0504]",,자연
438,기초교양,물리학1,가좌캠퍼스,3.0,"수5[024-0141],금6,7[024-0141]",수5[024-0141],"금6,7[024-0141]",,자연
439,기초교양,물리학1,가좌캠퍼스,3.0,"수1,2[024-0273],금3[024-0273]","수1,2[024-0273]",금3[024-0273],,자연
440,기초교양,물리학1,가좌캠퍼스,3.0,"월5[024-0225],수6,7[024-0225]",월5[024-0225],"수6,7[024-0225]",,자연
441,기초교양,물리학1,가좌캠퍼스,3.0,"화6,7[024-0275],금5[024-0275]","화6,7[024-0275]",금5[024-0275],,자연
442,기초교양,물리학1,가좌캠퍼스,3.0,"월3[024-0158],목1,2[024-0158]",월3[024-0158],"목1,2[024-0158]",,자연
443,기초교양,물리학1,가좌캠퍼스,3.0,"월1,2[024-0273],수3[024-0273]","월1,2[024-0273]",수3[024-0273],,자연
444,기초교양,물리학1,가좌캠퍼스,3.0,"월1,2[024-0271],수3[024-0271]","월1,2[024-0271]",수3[024-0271],,자연
445,기초교양,물리학1,가좌캠퍼스,3.0,"화5[024-0173],목6,7[024-0173]",화5[024-0173],"목6,7[024-0173]",,자연
446,기초교양,물리학1,가좌캠퍼스,3.0,"화5[024-0175],목6,7[024-0175]",화5[024-0175],"목6,7[024-0175]",,자연
447,기초교양,물리학1,가좌캠퍼스,3.0,"화5[024-0260],목6,7[024-0260]",화5[024-0260],"목6,7[024-0260]",,자연
448,기초교양,물리학1,가좌캠퍼스,3.0,"금8,9,10[024-0258]","금8,9,10[024-0258]",,,자연
449,기초교양,물리학1,가좌캠퍼스,3.0,"월3[024-0173],목1,2[024-0173]",월3[024-0173],"목1,2[024-0173]",,자연
450,기초교양,물리학1,가좌캠퍼스,3.0,"화3[024-0273],금1,2[024-0273]",화3[024-0273],"금1,2[024-0273]",,자연
451,기초교양,물리학1,가좌캠퍼스,3.0,"화5[024-0273],목6,7[024-0273]",화5[024-0273],"목6,7[024-0273]",,자연
452,기초교양,물리학1,가좌캠퍼스,3.0,"월1,2[024-0275],수3[024-0275]","월1,2[024-0275]",수3[024-0275],,자연
453,기초교양,물리학1,가좌캠퍼스,3.0,"월6,7[024-0273],목5[024-0273]","월6,7[024-0273]",목5[024-0273],,자연
455,기초교양,물리학1,가좌캠퍼스,3.0,"금5,6,7[601-0220]","금5,6,7[601-0220]",,,자연
458,기초교양,물리학1,가좌캠퍼스,3.0,"수1,2[352-0103],금4[352-0103]","수1,2[352-0103]",금4[352-0103],,자연
459,기초교양,물리학2,가좌캠퍼스,3.0,"월3[024-0127],목1,2[024-0127]",월3[024-0127],"목1,2[024-0127]",,자연
460,기초교양,물리학실험1,가좌캠퍼스,1.0,"금1,2[351-0204]","금1,2[351-0204]",,,자연
461,기초교양,물리학실험1,가좌캠퍼스,1.0,"목6,7[351-0104]","목6,7[351-0104]",,,자연
462,기초교양,물리학실험1,가좌캠퍼스,1.0,"목6,7[351-0204]","목6,7[351-0204]",,,자연
463,기초교양,물리학실험1,가좌캠퍼스,1.0,"월6,7[351-0104]","월6,7[351-0104]",,,자연
464,기초교양,물리학실험1,가좌캠퍼스,1.0,"월6,7[351-0119]","월6,7[351-0119]",,,자연
465,기초교양,물리학실험1,가좌캠퍼스,1.0,"월6,7[351-0204]","월6,7[351-0204]",,,자연
466,기초교양,물리학실험1,가좌캠퍼스,1.0,"월8,9[351-0104]","월8,9[351-0104]",,,자연
467,기초교양,물리학실험1,가좌캠퍼스,1.0,"월8,9[351-0119]","월8,9[351-0119]",,,자연
468,기초교양,물리학실험1,가좌캠퍼스,1.0,"수6,7[351-0119]","수6,7[351-0119]",,,자연
469,기초교양,물리학실험1,가좌캠퍼스,1.0,"월3,4[351-0204]","월3,4[351-0204]",,,자연
470,기초교양,물리학실험1,가좌캠퍼스,1.0,"화1,2[351-0119]","화1,2[351-0119]",,,자연
471,기초교양,물리학실험1,가좌캠퍼스,1.0,"월1,2[351-0119]","월1,2[351-0119]",,,자연
472,기초교양,물리학실험1,가좌캠퍼스,1.0,"금3,4[351-0104]","금3,4[351-0104]",,,자연
473,기초교양,물리학실험1,가좌캠퍼스,1.0,"금3,4[351-0119]","금3,4[351-0119]",,,자연
474,기초교양,물리학실험1,가좌캠퍼스,1.0,"금3,4[351-0204]","금3,4[351-0204]",,,자연
475,기초교양,물리학실험1,가좌캠퍼스,1.0,"화1,2[351-0104]","화1,2[351-0104]",,,자연
476,기초교양,물리학실험1,가좌캠퍼스,1.0,"화3,4[351-0119]","화3,4[351-0119]",,,자연
477,기초교양,물리학실험1,가좌캠퍼스,1.0,"수6,7[351-0104]","수6,7[351-0104]",,,자연
478,기초교양,물리학실험1,가좌캠퍼스,1.0,"수3,4[351-0119]","수3,4[351-0119]",,,자연
479,기초교양,물리학실험1,가좌캠퍼스,1.0,"화3,4[351-0104]","화3,4[351-0104]",,,자연
480,기초교양,물리학실험1,가좌캠퍼스,1.0,"목3,4[351-0104]","목3,4[351-0104]",,,자연
481,기초교양,물리학실험1,가좌캠퍼스,1.0,"목3,4[351-0119]","목3,4[351-0119]",,,자연
482,기초교양,물리학실험1,가좌캠퍼스,1.0,"수1,2[351-0204]","수1,2[351-0204]",,,자연
483,기초교양,물리학실험1,가좌캠퍼스,1.0,"화3,4[351-0204]","화3,4[351-0204]",,,자연
484,기초교양,물리학실험1,가좌캠퍼스,1.0,"화1,2[351-0204]","화1,2[351-0204]",,,자연
485,기초교양,물리학실험1,가좌캠퍼스,1.0,"화6,7[351-0104]","화6,7[351-0104]",,,자연
486,기초교양,물리학실험1,가좌캠퍼스,1.0,"화6,7[351-0119]","화6,7[351-0119]",,,자연
487,기초교양,물리학실험1,가좌캠퍼스,1.0,"화8,9[351-0104]","화8,9[351-0104]",,,자연
488,기초교양,물리학실험1,가좌캠퍼스,1.0,"금6,7[351-0104]","금6,7[351-0104]",,,자연
489,기초교양,물리학실험1,가좌캠퍼스,1.0,"금8,9[351-0104]","금8,9[351-0104]",,,자연
490,기초교양,물리학실험1,가좌캠퍼스,1.0,"금6,7[351-0119]","금6,7[351-0119]",,,자연
491,기초교양,생물학1,가좌캠퍼스,3.0,"화5[352-0111],목6,7[352-0111]",화5[352-0111],"목6,7[352-0111]",,자연
492,기초교양,생물학1,가좌캠퍼스,3.0,"화5[352-0106],목6,7[352-0106]",화5[352-0106],"목6,7[352-0106]",,자연
493,기초교양,생물학1,가좌캠퍼스,3.0,"화6,7[354-0504],금5[354-0504]","화6,7[354-0504]",금5[354-0504],,자연
494,기초교양,생물학1,가좌캠퍼스,3.0,"화1,2[459-0102],목3[459-0102]","화1,2[459-0102]",목3[459-0102],,자연
495,기초교양,생물학1,가좌캠퍼스,3.0,"월3[459-0102],목1,2[459-0102]",월3[459-0102],"목1,2[459-0102]",,자연
496,기초교양,생물학1,가좌캠퍼스,3.0,"월3[459-0310],목1,2[459-0310]",월3[459-0310],"목1,2[459-0310]",,자연
497,기초교양,생물학1,가좌캠퍼스,3.0,"화5[459-0310],목6,7[459-0310]",화5[459-0310],"목6,7[459-0310]",,자연
498,기초교양,생물학1,가좌캠퍼스,3.0,"화5[501-B102],목6,7[501-B102]",화5[501-B102],"목6,7[501-B102]",,자연
499,기초교양,생물학1,가좌캠퍼스,3.0,"화6,7[028-0420],금5[028-0420]","화6,7[028-0420]",금5[028-0420],,자연
500,기초교양,생물학1,가좌캠퍼스,3.0,"월1,2[354-0504],수3[354-0504]","월1,2[354-0504]",수3[354-0504],,자연
501,기초교양,생물학1,가좌캠퍼스,3.0,"월3[354-0504],목1,2[354-0504]",월3[354-0504],"목1,2[354-0504]",,자연
502,기초교양,생물학실험1,가좌캠퍼스,1.0,"금3,4[351-0311]","금3,4[351-0311]",,,자연
503,기초교양,생물학실험1,가좌캠퍼스,1.0,"금3,4[351-0404]","금3,4[351-0404]",,,자연
504,기초교양,생물학실험1,가좌캠퍼스,1.0,"목1,2[351-0311]","목1,2[351-0311]",,,자연
